num_nodes is set 102
channel.cc:sendUp - Calc highestAntennaZ_ asdf and distCST_
highestAntennaZ_ = 1.5,  distCST_ = 550.0
N: 101 r:0.017500 q:0.000000 alpha:0.700000 t_rtt:1 t_rtt_min:1 srtt:8 avgwnd:2.500000 avgRtt:1.000000
N: 99 r:0.045500 q:5.261905 alpha:0.700000 t_rtt:10 t_rtt_min:1 srtt:38 avgwnd:6.500000 avgRtt:5.250000
N: 100 r:0.256801 q:33.467010 alpha:0.700000 t_rtt:29 t_rtt_min:1 srtt:36 avgwnd:37.052761 avgRtt:10.333333
N: 99 r:0.045500 q:5.909091 alpha:0.700000 t_rtt:16 t_rtt_min:1 srtt:144 avgwnd:6.500000 avgRtt:11.000000
N: 98 r:0.167411 q:19.166847 alpha:0.700000 t_rtt:10 t_rtt_min:1 srtt:38 avgwnd:23.676693 avgRtt:5.250000
N: 98 r:0.152123 q:19.558623 alpha:0.700000 t_rtt:16 t_rtt_min:1 srtt:144 avgwnd:21.514485 avgRtt:11.000000
N: 99 r:0.215267 q:27.776390 alpha:0.700000 t_rtt:29 t_rtt_min:1 srtt:36 avgwnd:30.752432 avgRtt:10.333333
N: 101 r:0.010500 q:0.000000 alpha:0.700000 t_rtt:2 t_rtt_min:2 srtt:16 avgwnd:1.500000 avgRtt:2.000000
N: 97 r:0.160774 q:18.221057 alpha:0.700000 t_rtt:10 t_rtt_min:1 srtt:38 avgwnd:22.508364 avgRtt:5.250000
N: 102 r:0.187706 q:0.000000 alpha:0.700000 t_rtt:2 t_rtt_min:2 srtt:16 avgwnd:27.083333 avgRtt:2.000000
N: 96 r:0.141736 q:15.899519 alpha:0.700000 t_rtt:10 t_rtt_min:1 srtt:0 avgwnd:19.640582 avgRtt:5.250000
N: 101 r:0.010500 q:0.000000 alpha:0.700000 t_rtt:30 t_rtt_min:30 srtt:240 avgwnd:1.500000 avgRtt:30.000000
N: 99 r:0.259316 q:6.735486 alpha:0.700000 t_rtt:18 t_rtt_min:12 srtt:104 avgwnd:37.045176 avgRtt:14.666667
N: 103 r:0.185866 q:0.000000 alpha:0.700000 t_rtt:2 t_rtt_min:2 srtt:16 avgwnd:27.083333 avgRtt:2.000000
